date_ingested,decklist_id,favorites,likes,comments
2025-07-23T07:31:34.295Z,56009,0,0,0
2025-10-05T03:35:42.733Z,56010,0,0,0
2025-10-05T03:35:43.613Z,56011,0,0,0
2025-10-05T03:35:44.131Z,55973,0,0,0
2025-10-05T03:35:44.688Z,55975,0,0,0
2025-10-05T03:35:45.262Z,55976,0,0,0
2025-10-05T03:35:46.175Z,55977,0,0,0
2025-10-05T03:35:46.747Z,55978,0,1,0
2025-10-05T03:35:48.093Z,55979,8,9,1
2025-10-05T03:35:48.736Z,55980,1,2,0
2025-10-05T03:35:49.311Z,55981,0,0,0
2025-10-05T03:35:49.887Z,55982,0,0,0
2025-10-05T03:35:50.419Z,55983,0,0,0
2025-10-05T03:35:50.954Z,55984,0,0,0
2025-07-23T07:31:42.237Z,55985,0,0,0
2025-10-05T03:35:52.011Z,55986,0,0,0
2025-10-05T03:35:52.934Z,55990,0,0,0
2025-10-05T03:35:53.451Z,55953,0,0,0
2025-10-05T03:35:54.012Z,55955,1,3,0
2025-10-05T03:35:54.551Z,55956,0,0,0
2025-10-05T03:35:55.085Z,55960,0,0,0
2025-10-05T03:35:55.654Z,55961,0,0,0
2025-10-05T03:35:56.239Z,55962,0,0,0
2025-10-05T03:35:56.777Z,55963,0,0,0
2025-10-05T03:35:57.331Z,55964,1,1,0
2025-10-05T03:35:57.859Z,55966,0,0,0
2025-10-05T03:35:58.381Z,55967,0,0,0
2025-10-05T03:35:58.902Z,55968,0,0,0
2025-10-05T03:35:59.488Z,55969,0,0,0
2025-10-05T03:36:00.061Z,55970,0,0,0
2025-10-05T03:36:00.587Z,55971,0,0,0
2025-10-05T03:36:01.126Z,55972,0,0,0
2025-10-05T03:36:01.670Z,55938,0,0,0
2025-10-05T03:36:02.231Z,55939,0,0,0
2025-10-05T03:36:02.773Z,55940,0,0,0
2025-10-05T03:36:03.298Z,55941,0,0,0
2025-10-05T03:36:03.849Z,55942,0,0,0
2025-10-05T03:36:04.401Z,55943,0,0,0
2025-10-05T03:36:04.947Z,55944,0,0,0
2025-10-05T03:36:05.470Z,55945,0,0,0
2025-10-05T03:36:06.180Z,55946,6,10,3
2025-10-05T03:36:07.103Z,55947,0,0,0
2025-10-05T03:36:07.650Z,55948,0,0,0
2025-10-05T03:36:08.163Z,55949,0,0,0
2025-10-05T03:36:08.714Z,55950,0,0,0
2025-10-05T03:36:09.243Z,55951,0,0,0
2025-10-05T03:36:09.790Z,55952,3,4,0
2025-10-05T03:36:10.483Z,55922,3,8,0
2025-10-05T03:36:11.025Z,55923,0,0,0
2025-10-05T03:36:11.731Z,55924,1,1,0
2025-10-05T03:36:12.295Z,55925,0,0,0
2025-10-05T03:36:12.835Z,55926,0,0,0
2025-10-05T03:36:13.660Z,55927,0,0,0
2025-10-05T03:36:14.265Z,55928,0,0,0
2025-10-05T03:36:14.827Z,55929,0,0,0
2025-10-05T03:36:15.499Z,55930,4,7,0
2025-10-05T03:36:16.071Z,55931,3,2,0
2025-10-05T03:36:16.599Z,55932,0,0,0
2025-10-05T03:36:17.144Z,55933,0,0,0
2025-10-05T03:36:17.669Z,55934,0,0,0
2025-10-05T03:36:18.179Z,55935,0,0,0
2025-10-05T03:36:18.696Z,55936,0,0,0
2025-10-05T03:36:19.445Z,55937,0,0,0
2025-10-05T03:36:19.959Z,55893,1,1,0
2025-10-05T03:36:20.891Z,55894,0,0,0
2025-10-05T03:36:21.425Z,55895,0,0,0
2025-10-05T03:36:21.979Z,55896,0,0,0
